participantId,participantNumber,gameId,name,totalTrials,finalScore,hit,correct_rejection,false_alarm,bad_hit,miss,mean_rt_hit_ms,median_rt_hit_ms,sd_rt_hit_ms,mean_rt_bad_hit_ms,median_rt_bad_hit_ms,sd_rt_bad_hit_ms,mean_rt_false_alarm_ms,median_rt_false_alarm_ms,sd_rt_false_alarm_ms,bad_hit_rate,correct_hit_rate,false_alarm_rate,sdt_z_hit,sdt_z_false_alarm,dprime,z_correct_hit_rate,z_bad_hit_rate,z_false_alarm_rate,emotions_observed,congruent_ratio
7000F,7000,5f976b56-e870-4be9-b6ac-aec750ffb796,TagMeAgainHard,10,2.0,0,6,1,0,3,,,,,,,656.0,656.0,,0.0,0.0,0.14285714285714285,-1.1503493803760079,-0.8871465590188758,-0.263202821357132,-3.2983925509685896,-0.45190251503339046,-0.4666350567442833,,
7000I,7000,8fdf33c6-136c-46c0-9f34-0e5045a33caa,TagMeAgainHard,33,1.0,4,13,11,0,5,606.75,623.5,73.66308437745462,,,,578.1818181818181,557.0,117.87350693164109,0.0,0.4444444444444444,0.4583333333333333,-0.125661346855074,-0.10043372051146975,-0.025227626343604245,-1.5768490888184648,-0.45190251503339046,0.3438014197171584,,
7002I,7002,c7ec5260-05b0-49cc-9941-0c6ed0450d6b,TagMeAgainHard,10,8.0,2,7,0,0,1,554.0,554.0,46.66904755831214,,,,,,,0.0,0.6666666666666666,0.0,0.31863936396437514,-1.5341205443525459,1.852759908316921,-0.7160773577434025,-0.45190251503339046,-0.8336251592928606,,
7002K,7002,f1fb6f2c-7395-45b0-bdb6-e86a85c2e13e,TagMeAgainHard,36,13.0,6,18,6,3,3,787.5,871.0,218.6145008914093,617.0,500.0,306.71974178392884,665.3333333333334,633.5,155.65945736339526,0.08333333333333333,0.6666666666666666,0.25,0.3853204664075676,-0.6433454053929168,1.0286658718004844,-0.7160773577434025,1.107223631496916,-0.19139247983285024,,
7003E,7003,68fc67d5-1051-4ba1-b3f5-109adb27dd12,TagMeAgainHard,33,19.0,8,18,6,0,1,675.0,629.5,162.684620398751,,,,634.0,625.0,107.34989520255714,0.0,0.8888888888888888,0.25,1.0364333894937894,-0.6433454053929168,1.6797787948867062,0.14469437333165983,-0.45190251503339046,-0.19139247983285024,,
7003M,7003,e7ccdc97-1c18-4fd1-ac33-bf63007dc836,TagMeAgainHard,10,6.0,2,6,1,0,1,839.0,839.0,98.99494936611666,,,,716.0,716.0,,0.0,0.6666666666666666,0.14285714285714285,0.31863936396437514,-0.8871465590188758,1.205785922983251,-0.7160773577434025,-0.45190251503339046,-0.4666350567442833,,
7004B,7004,27907500-dafa-4e9c-aedc-eeb398a7411e,TagMeAgainHard,10,2.0,0,6,1,0,3,,,,,,,624.0,624.0,,0.0,0.0,0.14285714285714285,-1.1503493803760079,-0.8871465590188758,-0.263202821357132,-3.2983925509685896,-0.45190251503339046,-0.4666350567442833,,
7004F,7004,6c7b9c90-a86c-49d7-9814-ae1df43499cd,TagMeAgainHard,38,4.0,5,11,13,5,4,752.6,794.0,167.02185485738087,291.6,299.0,24.945941553687646,498.7692307692308,456.0,210.07742772850597,0.13157894736842105,0.5555555555555556,0.5416666666666666,0.12566134685507413,0.1004337205114699,0.02522762634360423,-1.1464632232809335,2.0098756110670934,0.5578789795371618,,
7005D,7005,31e376af-cf77-4923-9b61-99ab698c5d89,TagMeAgainHard,33,24.0,7,21,3,0,2,761.8571428571429,800.0,158.36290450673582,,,,809.0,816.0,126.64517361510465,0.0,0.7777777777777778,0.125,0.6744897501960817,-1.080319340814956,1.7548090910110377,-0.28569149220587114,-0.45190251503339046,-0.5125088195628554,,
7005L,7005,e220f995-cc74-4486-abd9-b46f060ed210,TagMeAgainHard,10,2.0,1,5,2,0,2,805.0,805.0,,,,,488.5,488.5,137.88582233137677,0.0,0.3333333333333333,0.2857142857142857,-0.31863936396437514,-0.4887764111146694,0.17013704715029426,-2.0072349543559964,-0.45190251503339046,-0.09964495419570595,,
7006A,7006,07547a7a-c163-45fe-8ca9-9efab619fd7f,TagMeAgainHard,10,4.0,2,5,2,0,1,866.5,866.5,27.577164466275352,,,,641.0,641.0,165.46298679765212,0.0,0.6666666666666666,0.2857142857142857,0.31863936396437514,-0.4887764111146694,0.8074157750790445,-0.7160773577434025,-0.45190251503339046,-0.09964495419570595,,
7006G,7006,8a5e485b-48cb-4d3c-9f55-92c9b43e74c2,TagMeAgainHard,33,11.0,4,18,6,0,5,715.25,709.5,102.32749711913542,,,,588.5,580.5,104.5633779102416,0.0,0.4444444444444444,0.25,-0.125661346855074,-0.6433454053929168,0.5176840585378428,-1.5768490888184648,-0.45190251503339046,-0.19139247983285024,,
7007A,7007,06fca1e5-3e32-4c8c-8938-961c523133c2,TagMeAgainHard,10,11.0,3,7,0,0,0,673.6666666666666,536.0,275.61990736035983,,,,,,,0.0,1.0,0.0,1.1503493803760079,-1.5341205443525459,2.6844699247285537,0.5750802388691912,-0.45190251503339046,-0.8336251592928606,,
7007E,7007,25396927-0f4a-46c7-a772-39a5ce6e415f,TagMeAgainHard,34,16.0,7,18,6,1,2,670.2857142857143,652.0,73.50672142898291,88.0,88.0,,651.1666666666666,677.5,66.96989373342821,0.029411764705882353,0.7777777777777778,0.25,0.6744897501960817,-0.6433454053929168,1.3178351555889987,-0.28569149220587114,0.09837730138907066,-0.19139247983285024,,
7008A,7008,43eb4512-4280-48c1-8191-1359158ad4a4,TagMeAgainHard,10,7.0,2,6,1,0,1,548.0,548.0,77.78174593052023,,,,726.0,726.0,,0.0,0.6666666666666666,0.14285714285714285,0.31863936396437514,-0.8871465590188758,1.205785922983251,-0.7160773577434025,-0.45190251503339046,-0.4666350567442833,,
7008C,7008,73b6b49f-4199-4f50-b4b5-496458d359cf,TagMeAgainHard,33,17.0,6,19,5,0,3,691.0,702.5,122.96178268063618,,,,638.4,619.0,40.630038149132965,0.0,0.6666666666666666,0.20833333333333334,0.3853204664075676,-0.7721932141886849,1.1575136805962525,-0.7160773577434025,-0.45190251503339046,-0.29843125974285195,,
7008I,7008,c158c1d6-9396-4995-8d34-3ff3c539afe8,TagMeAgainHard,33,8.0,4,16,8,0,5,617.75,598.5,123.02133961228027,,,,699.5,660.5,121.20348887010519,0.0,0.4444444444444444,0.3333333333333333,-0.125661346855074,-0.4124631294414046,0.2868017825863306,-1.5768490888184648,-0.45190251503339046,0.02268507998715317,,
7008O,7008,ff8331bc-b5f9-456b-a118-78a74b48647c,TagMeAgainHard,10,6.0,1,7,0,0,2,737.0,737.0,,,,,,,,0.0,0.3333333333333333,0.0,-0.31863936396437514,-1.5341205443525459,1.2154811803881707,-2.0072349543559964,-0.45190251503339046,-0.8336251592928606,,
7009C,7009,22344b07-0c8a-4284-96c6-7626a33dbc48,TagMeAgainHard,34,13.0,2,21,3,1,7,634.5,634.5,256.6797615707168,980.0,980.0,,560.3333333333334,586.0,57.9338703465713,0.029411764705882353,0.2222222222222222,0.125,-0.6744897501960817,-1.080319340814956,0.40582959061887436,-2.437620819893527,0.09837730138907066,-0.5125088195628554,,
7009H,7009,74167fdf-cdb4-4324-ac69-afcc4a60bc52,TagMeAgainHard,10,6.0,1,7,0,0,2,948.0,948.0,,,,,,,,0.0,0.3333333333333333,0.0,-0.31863936396437514,-1.5341205443525459,1.2154811803881707,-2.0072349543559964,-0.45190251503339046,-0.8336251592928606,,
7010I,7010,a48fcb1f-ef45-4193-b960-65be05272558,TagMeAgainHard,10,2.0,0,6,1,0,3,,,,,,,660.0,660.0,,0.0,0.0,0.14285714285714285,-1.1503493803760079,-0.8871465590188758,-0.263202821357132,-3.2983925509685896,-0.45190251503339046,-0.4666350567442833,,
