participantId,participantNumber,gameId,name,totalTrials,finalScore,hit,correct_rejection,false_alarm,bad_hit,miss,mean_rt_hit_ms,median_rt_hit_ms,sd_rt_hit_ms,mean_rt_bad_hit_ms,median_rt_bad_hit_ms,sd_rt_bad_hit_ms,mean_rt_false_alarm_ms,median_rt_false_alarm_ms,sd_rt_false_alarm_ms,bad_hit_rate,correct_hit_rate,false_alarm_rate,sdt_z_hit,sdt_z_false_alarm,dprime,z_correct_hit_rate,z_bad_hit_rate,z_false_alarm_rate,emotions_observed,congruent_ratio
7000K,7000,a3345d12-2d73-4b98-8686-a28cae3da2a6,TagMeAgainMedium,32,23.0,9,18,5,0,0,644.4444444444445,680.0,106.88792157104459,,,,663.6,597.0,168.81883781142434,0.0,1.0,0.21739130434782608,1.6448536269514715,-0.7415940438615165,2.386447670812988,0.5750802388691912,-0.45190251503339046,-0.2751619597624168,,
7000L,7000,afbf80cc-2efc-4388-adc5-95efd2565407,TagMeAgainMedium,10,7.0,1,7,0,0,2,465.0,465.0,,,,,,,,0.0,0.3333333333333333,0.0,-0.31863936396437514,-1.5341205443525459,1.2154811803881707,-2.0072349543559964,-0.45190251503339046,-0.8336251592928606,,
7002A,7002,33459376-e1c6-4250-931a-a4be398bed76,TagMeAgainMedium,10,6.0,1,7,0,0,2,717.0,717.0,,,,,,,,0.0,0.3333333333333333,0.0,-0.31863936396437514,-1.5341205443525459,1.2154811803881707,-2.0072349543559964,-0.45190251503339046,-0.8336251592928606,,
7002D,7002,5b6b5b88-bdf9-45a7-b6d5-4cd6f1f9ca29,TagMeAgainMedium,35,19.0,6,21,2,3,3,723.6666666666666,744.0,114.51579221516423,862.0,854.0,58.412327466040935,683.0,683.0,298.3990616607231,0.08571428571428572,0.6666666666666666,0.08695652173913043,0.3853204664075676,-1.2581615610630965,1.643482027470664,-0.7160773577434025,1.1517700928263535,-0.6102398794806831,,
7003C,7003,2128ccdc-0032-4e78-a86d-0f4c04414139,TagMeAgainMedium,33,19.0,8,18,5,1,1,705.375,668.5,125.59906448696185,987.0,987.0,,686.0,708.0,109.69958978957031,0.030303030303030304,0.8888888888888888,0.21739130434782608,1.0364333894937894,-0.7415940438615165,1.7780274333553059,0.14469437333165983,0.11505244734126648,-0.2751619597624168,,
7003H,7003,b1699b4b-94dd-4ecd-b1f0-901be596314b,TagMeAgainMedium,10,9.0,3,6,1,0,0,615.6666666666666,608.0,137.66020969522503,,,,502.0,502.0,,0.0,1.0,0.14285714285714285,1.1503493803760079,-0.8871465590188758,2.0374959393948835,0.5750802388691912,-0.45190251503339046,-0.4666350567442833,,
7004C,7004,3b0f8664-9edd-4995-a3f3-2519e075f07f,TagMeAgainMedium,33,3.0,5,13,10,1,4,691.8,703.0,108.8563273310284,1005.0,1005.0,,713.7,744.0,144.97053340439757,0.030303030303030304,0.5555555555555556,0.43478260869565216,0.12566134685507413,-0.15731068461017067,0.2829720314652448,-1.1464632232809335,0.11505244734126648,0.28330123976802696,,
7004L,7004,c93ae73c-5a2a-4226-817a-2a80d36c56e6,TagMeAgainMedium,10,8.0,2,7,0,0,1,832.5,832.5,229.80970388562795,,,,,,,0.0,0.6666666666666666,0.0,0.31863936396437514,-1.5341205443525459,1.852759908316921,-0.7160773577434025,-0.45190251503339046,-0.8336251592928606,,
7005J,7005,bd534b7e-0fcc-4721-9992-706220a82b4c,TagMeAgainMedium,10,10.0,3,7,0,0,0,617.3333333333334,613.0,72.59706146486464,,,,,,,0.0,1.0,0.0,1.1503493803760079,-1.5341205443525459,2.6844699247285537,0.5750802388691912,-0.45190251503339046,-0.8336251592928606,,
7005K,7005,d323cc99-3edb-459c-8ca1-1af5ce6d09f7,TagMeAgainMedium,32,20.0,7,19,4,0,2,750.1428571428571,749.0,131.3816686495603,,,,637.5,608.0,107.79146533933009,0.0,0.7777777777777778,0.17391304347826086,0.6744897501960817,-0.8871465590188758,1.5616363092149577,-0.28569149220587114,-0.45190251503339046,-0.3868545996685056,,
7006E,7006,66bb11e9-33f3-4a63-914c-57b86796ce27,TagMeAgainMedium,12,2.0,0,7,0,2,3,,,,464.0,464.0,521.8448045156721,,,,0.16666666666666666,0.0,0.0,-1.1503493803760079,-1.5341205443525459,0.383771163976538,-3.2983925509685896,2.666349778027222,-0.8336251592928606,,
7006J,7006,9260208d-0722-488b-9cbb-d1c19ae242ef,TagMeAgainMedium,34,18.0,5,21,2,2,4,888.0,948.0,141.45847447219273,805.5,805.5,173.24116139070415,716.0,716.0,161.22034611053283,0.058823529411764705,0.5555555555555556,0.08695652173913043,0.12566134685507413,-1.2581615610630965,1.3838229079181708,-1.1464632232809335,0.6486571178115318,-0.6102398794806831,,
7007B,7007,0af66bc0-70fd-4206-a8ba-2312a4fcf332,TagMeAgainMedium,10,8.0,2,7,0,0,1,793.0,793.0,9.899494936611665,,,,,,,0.0,0.6666666666666666,0.0,0.31863936396437514,-1.5341205443525459,1.852759908316921,-0.7160773577434025,-0.45190251503339046,-0.8336251592928606,,
7007G,7007,5914da6c-d90d-4494-8ced-6312f70e57e0,TagMeAgainMedium,33,23.0,6,21,2,1,3,623.5,605.5,200.17267545796554,811.0,811.0,,818.5,818.5,105.35891039679558,0.030303030303030304,0.6666666666666666,0.08695652173913043,0.3853204664075676,-1.2581615610630965,1.643482027470664,-0.7160773577434025,0.11505244734126648,-0.6102398794806831,,
7008E,7008,84836555-7b95-434d-ae22-0979ea995fe7,TagMeAgainMedium,10,6.0,2,6,1,0,1,726.5,726.5,95.45941546018392,,,,853.0,853.0,,0.0,0.6666666666666666,0.14285714285714285,0.31863936396437514,-0.8871465590188758,1.205785922983251,-0.7160773577434025,-0.45190251503339046,-0.4666350567442833,,
7008K,7008,ed6c6894-e4f7-4e63-9b8f-dc9780dc7486,TagMeAgainMedium,32,26.0,7,21,2,0,2,614.7142857142857,536.0,141.20872764069776,,,,604.5,604.5,75.66042558696059,0.0,0.7777777777777778,0.08695652173913043,0.6744897501960817,-1.2581615610630965,1.9326513112591783,-0.28569149220587114,-0.45190251503339046,-0.6102398794806831,,
7009D,7009,3ac74d8c-ec30-4e7b-988a-5293724dfa10,TagMeAgainMedium,10,1.0,0,5,2,0,3,,,,,,,791.0,791.0,11.313708498984761,0.0,0.0,0.2857142857142857,-1.1503493803760079,-0.4887764111146694,-0.6615729692613385,-3.2983925509685896,-0.45190251503339046,-0.09964495419570595,,
7009G,7009,6b779990-0a55-48af-80e1-438b1015c615,TagMeAgainMedium,32,14.0,0,23,0,0,9,,,,,,,,,,0.0,0.0,0.0,-1.6448536269514726,-2.0368341317013887,0.3919805047499161,-3.2983925509685896,-0.45190251503339046,-0.8336251592928606,,
7010B,7010,595b920a-b6db-4261-a63e-e381381aaba1,TagMeAgainMedium,32,21.0,5,21,2,0,4,729.6,812.0,176.3442655716369,,,,828.5,828.5,31.81980515339464,0.0,0.5555555555555556,0.08695652173913043,0.12566134685507413,-1.2581615610630965,1.3838229079181708,-1.1464632232809335,-0.45190251503339046,-0.6102398794806831,,
7010E,7010,855f5535-ca6a-4e9a-b5b6-b65a33fec9a0,TagMeAgainMedium,10,8.0,2,7,0,0,1,539.0,539.0,42.42640687119285,,,,,,,0.0,0.6666666666666666,0.0,0.31863936396437514,-1.5341205443525459,1.852759908316921,-0.7160773577434025,-0.45190251503339046,-0.8336251592928606,,
7011H,7011,7a468804-11fc-48e7-ae2e-70aca453dae7,TagMeAgainMedium,10,2.0,0,6,1,0,3,,,,,,,778.0,778.0,,0.0,0.0,0.14285714285714285,-1.1503493803760079,-0.8871465590188758,-0.263202821357132,-3.2983925509685896,-0.45190251503339046,-0.4666350567442833,,
7011L,7011,f8625d3d-b344-464d-bf29-3806d9901e21,TagMeAgainMedium,33,30.0,8,23,0,1,1,676.125,697.0,147.5789740153677,984.0,984.0,,,,,0.030303030303030304,0.8888888888888888,0.0,1.0364333894937894,-2.0368341317013887,3.073267521195178,0.14469437333165983,0.11505244734126648,-0.8336251592928606,,
7012B,7012,10140a8b-7da7-416d-86be-88318f04f169,TagMeAgainMedium,10,8.0,2,7,0,0,1,837.5,837.5,105.35891039679558,,,,,,,0.0,0.6666666666666666,0.0,0.31863936396437514,-1.5341205443525459,1.852759908316921,-0.7160773577434025,-0.45190251503339046,-0.8336251592928606,,
7012H,7012,3594170d-e357-4d7e-bc34-62d72c4ce33b,TagMeAgainMedium,32,23.0,8,19,4,0,1,569.75,542.0,97.8698114844409,,,,585.0,579.5,194.53020331043712,0.0,0.8888888888888888,0.17391304347826086,1.0364333894937894,-0.8871465590188758,1.9235799485126652,0.14469437333165983,-0.45190251503339046,-0.3868545996685056,,
7012I,7012,4616aa96-26b0-48ce-af85-21903f03efb4,TagMeAgainMedium,10,11.0,3,7,0,0,0,654.0,734.0,225.88713996153035,,,,,,,0.0,1.0,0.0,1.1503493803760079,-1.5341205443525459,2.6844699247285537,0.5750802388691912,-0.45190251503339046,-0.8336251592928606,,
7012K,7012,54511229-c327-4647-a2a8-8e3d226fecb8,TagMeAgainMedium,32,26.0,9,20,3,0,0,738.5555555555555,714.0,80.86425525396112,,,,530.3333333333334,507.0,73.81959992666808,0.0,1.0,0.13043478260869565,1.6448536269514715,-1.0544724517700528,2.6993260787215245,0.5750802388691912,-0.45190251503339046,-0.49854723957459435,,
7012S,7012,8ae79c75-d7fa-4aef-bc18-1c8d67102777,TagMeAgainMedium,11,9.0,3,7,0,1,0,647.0,668.0,87.41281370600079,904.0,904.0,,,,,0.09090909090909091,1.0,0.0,1.1503493803760079,-1.5341205443525459,2.6844699247285537,0.5750802388691912,1.2489623720905803,-0.8336251592928606,,
7012T,7012,95b367d8-7ab7-40b5-8322-8596c43ba42b,TagMeAgainMedium,33,23.0,9,19,4,1,0,647.2222222222222,626.0,93.89459220021378,1002.0,1002.0,,774.75,767.0,58.02513823048306,0.030303030303030304,1.0,0.17391304347826086,1.6448536269514715,-0.8871465590188758,2.5320001859703476,0.5750802388691912,0.11505244734126648,-0.3868545996685056,,
