participantId,participantNumber,gameId,name,totalTrials,finalScore,hit,correct_rejection,false_alarm,bad_hit,miss,mean_rt_hit_ms,median_rt_hit_ms,sd_rt_hit_ms,mean_rt_bad_hit_ms,median_rt_bad_hit_ms,sd_rt_bad_hit_ms,mean_rt_false_alarm_ms,median_rt_false_alarm_ms,sd_rt_false_alarm_ms,bad_hit_rate,correct_hit_rate,false_alarm_rate,sdt_z_hit,sdt_z_false_alarm,dprime,z_correct_hit_rate,z_bad_hit_rate,z_false_alarm_rate,emotions_observed,congruent_ratio
7000E,7000,5c7753d9-f2a2-44c7-b38d-f312bd27a9db,TagMeBigger,30,33.0,25,0,5,0,0,488.92,478.0,109.93138769250572,,,,395.2,398.0,28.16380656090366,0.0,1.0,1.0,2.0699018308950508,1.382994127100638,0.6869077037944127,0.5750802388691912,-0.45190251503339046,1.735305558547181,,1.0
7000M,7000,e3dc2d7e-e44a-48d4-83d7-810cd84643be,TagMeBigger,10,15.0,10,0,0,0,0,569.7,513.0,257.900949978863,,,,,,,0.0,1.0,,1.6906216295848984,,,0.5750802388691912,-0.45190251503339046,,,1.0
7002B,7002,425c358d-0f09-4eef-b7ff-f54ce6a5b247,TagMeBigger,30,28.0,29,0,1,0,0,663.1034482758621,648.0,107.82603211641633,,,,507.0,507.0,,0.0,1.0,1.0,2.128045234184984,0.6744897501960817,1.4535554839889024,0.5750802388691912,-0.45190251503339046,1.735305558547181,,1.0
7002E,7002,8873f578-6866-4e61-97f0-7ac5670c59a8,TagMeBigger,30,38.0,29,0,1,0,0,560.448275862069,546.0,96.19458932174057,,,,460.0,460.0,,0.0,1.0,1.0,2.128045234184984,0.6744897501960817,1.4535554839889024,0.5750802388691912,-0.45190251503339046,1.735305558547181,,1.0
7002F,7002,a90ff4df-5c8d-494c-9605-0479fc1165db,TagMeBigger,10,7.0,8,0,2,0,0,620.625,642.0,100.03133437649853,,,,588.0,588.0,175.36248173426378,0.0,1.0,1.0,1.59321881802305,0.9674215661017014,0.6257972519213486,0.5750802388691912,-0.45190251503339046,1.735305558547181,,1.0
7002M,7002,fec6fbc9-300c-4359-9554-a0d2dfbbbef9,TagMeBigger,10,9.0,9,0,1,0,0,665.1111111111111,616.0,176.19268177512683,,,,608.0,608.0,,0.0,1.0,1.0,1.6448536269514715,0.6744897501960817,0.9703638767553898,0.5750802388691912,-0.45190251503339046,1.735305558547181,,1.0
7003G,7003,b1395a4a-8fef-4345-b090-04a0db57e3bc,TagMeBigger,30,30.0,30,0,0,0,0,647.4666666666667,617.5,106.05487627454569,,,,,,,0.0,1.0,,2.1411981209720183,,,0.5750802388691912,-0.45190251503339046,,,1.0
7003K,7003,d8b8a5f8-23f9-44f9-b15d-03354a3c6a88,TagMeBigger,10,10.0,10,0,0,0,0,645.8,681.0,96.35097877609293,,,,,,,0.0,1.0,,1.6906216295848984,,,0.5750802388691912,-0.45190251503339046,,,1.0
7004D,7004,3bb54aa8-8ce4-47c8-8b02-6a985c67c326,TagMeBigger,10,10.0,10,0,0,0,0,678.1,703.0,97.79167199261454,,,,,,,0.0,1.0,,1.6906216295848984,,,0.5750802388691912,-0.45190251503339046,,,1.0
7004H,7004,8184fd32-b05e-4ea2-afd2-cd195b883eff,TagMeBigger,30,40.0,30,0,0,0,0,575.1333333333333,568.0,130.24955710648993,,,,,,,0.0,1.0,,2.1411981209720183,,,0.5750802388691912,-0.45190251503339046,,,1.0
7005C,7005,23282087-5a9b-46f5-835b-45378f117e26,TagMeBigger,10,10.0,10,0,0,0,0,793.6,796.0,111.55387338262472,,,,,,,0.0,1.0,,1.6906216295848984,,,0.5750802388691912,-0.45190251503339046,,,1.0
7005E,7005,5cd32246-23a5-4718-9563-b6df67e9b125,TagMeBigger,30,30.0,30,0,0,0,0,744.9,710.0,111.57596762620587,,,,,,,0.0,1.0,,2.1411981209720183,,,0.5750802388691912,-0.45190251503339046,,,1.0
7006L,7006,d4da14aa-880f-41db-9265-0515bba84400,TagMeBigger,10,12.0,10,0,0,0,0,530.1,524.0,51.56107489613114,,,,,,,0.0,1.0,,1.6906216295848984,,,0.5750802388691912,-0.45190251503339046,,,1.0
7006M,7006,ec7c5a90-10a8-4662-881d-2a9d05e64db4,TagMeBigger,30,39.0,29,0,1,0,0,542.3448275862069,540.0,87.55458536661122,,,,453.0,453.0,,0.0,1.0,1.0,2.128045234184984,0.6744897501960817,1.4535554839889024,0.5750802388691912,-0.45190251503339046,1.735305558547181,,1.0
7007H,7007,81c5c191-cff2-4599-a488-a3486ce66ccd,TagMeBigger,30,35.0,30,0,0,0,0,649.8666666666667,643.0,129.71925476763758,,,,,,,0.0,1.0,,2.1411981209720183,,,0.5750802388691912,-0.45190251503339046,,,1.0
7007K,7007,b164829b-5ca6-4c70-86af-83ee73780da8,TagMeBigger,10,7.0,8,0,2,0,0,633.5,621.0,111.51425277258764,,,,595.5,595.5,242.5376259469858,0.0,1.0,1.0,1.59321881802305,0.9674215661017014,0.6257972519213486,0.5750802388691912,-0.45190251503339046,1.735305558547181,,1.0
