participantId,participantNumber,gameId,name,totalTrials,finalScore,hit,correct_rejection,false_alarm,bad_hit,miss,mean_rt_hit_ms,median_rt_hit_ms,sd_rt_hit_ms,mean_rt_bad_hit_ms,median_rt_bad_hit_ms,sd_rt_bad_hit_ms,mean_rt_false_alarm_ms,median_rt_false_alarm_ms,sd_rt_false_alarm_ms,bad_hit_rate,correct_hit_rate,false_alarm_rate,sdt_z_hit,sdt_z_false_alarm,dprime,z_correct_hit_rate,z_bad_hit_rate,z_false_alarm_rate,emotions_observed,congruent_ratio
7000A,7000,0a0a11d8-e8c2-4b5a-9092-113c87ffd26b,TagMeQuick,33,62.0,30,0,0,3,0,386.6666666666667,372.5,89.63578923981024,364.0,369.0,28.827070610799147,,,,0.09090909090909091,1.0,,2.1411981209720183,,,0.5750802388691912,1.2489623720905803,,,
7000B,7000,1fc9087d-e6a2-4b89-a6b1-b15da1b8cbfa,TagMeQuick,11,15.0,10,0,0,1,0,477.4,436.0,123.00876210886587,344.0,344.0,,,,,0.09090909090909091,1.0,,1.6906216295848984,,,0.5750802388691912,1.2489623720905803,,,
7002J,7002,c829eaf2-ce50-43ba-a68f-e25dbd69b97c,TagMeQuick,11,15.0,10,0,0,1,0,519.0,462.0,168.5460701938131,348.0,348.0,,,,,0.09090909090909091,1.0,,1.6906216295848984,,,0.5750802388691912,1.2489623720905803,,,
7002N,7002,fefd433a-180e-46cf-97c1-e5d569c076c9,TagMeQuick,33,48.0,30,0,0,3,0,480.7,460.0,95.73388042939116,503.0,428.0,150.26310259009028,,,,0.09090909090909091,1.0,,2.1411981209720183,,,0.5750802388691912,1.2489623720905803,,,
7003D,7003,3a08aabf-8665-4ef9-aff9-60bdebcbff37,TagMeQuick,10,12.0,10,0,0,0,0,567.7,540.5,80.21921354776686,,,,,,,0.0,1.0,,1.6906216295848984,,,0.5750802388691912,-0.45190251503339046,,,
7003J,7003,c50e37f9-997d-4d4a-b400-21a393de961d,TagMeQuick,31,44.0,28,0,0,1,2,479.7142857142857,453.5,98.20720994232595,551.0,551.0,,,,,0.03225806451612903,0.9333333333333333,,1.4007450611305763,,,0.31684871954667254,0.15163018684930882,,,
7004I,7004,87cfcb19-b9b9-49f4-a569-7fc010d5b559,TagMeQuick,11,11.0,10,0,0,1,0,560.0,566.0,84.33399209228875,391.0,391.0,,,,,0.09090909090909091,1.0,,1.6906216295848984,,,0.5750802388691912,1.2489623720905803,,,
7004M,7004,d84043b2-d71b-4aac-9db5-1f600c38ec33,TagMeQuick,31,44.0,30,0,0,1,0,529.8,524.0,126.87338244255092,367.0,367.0,,,,,0.03225806451612903,1.0,,2.1411981209720183,,,0.5750802388691912,0.15163018684930882,,,
7005F,7005,75dda528-b096-4992-9094-20e0e9f780e3,TagMeQuick,11,16.0,10,0,0,1,0,467.4,461.0,92.33658237364237,326.0,326.0,,,,,0.09090909090909091,1.0,,1.6906216295848984,,,0.5750802388691912,1.2489623720905803,,,
7005I,7005,b4d33bcf-0338-4cc1-88ca-7ef0d239b129,TagMeQuick,30,54.0,29,0,0,0,1,436.37931034482756,442.0,65.85016205268239,,,,,,,0.0,0.9666666666666667,,1.6606976105540416,,,0.44596447920793186,-0.45190251503339046,,,
7006C,7006,36a7a940-569e-4a0e-b760-436315df62ea,TagMeQuick,10,18.0,10,0,0,0,0,452.0,449.5,78.92049445134289,,,,,,,0.0,1.0,,1.6906216295848984,,,0.5750802388691912,-0.45190251503339046,,,
7006H,7006,8bc2d187-ad28-4ef4-9e0f-244da178210c,TagMeQuick,31,65.0,30,0,0,1,0,381.0,387.0,61.09179074598914,355.0,355.0,,,,,0.03225806451612903,1.0,,2.1411981209720183,,,0.5750802388691912,0.15163018684930882,,,
7007L,7007,d0e35312-8d8e-4834-aff0-79af2c7dbf1e,TagMeQuick,10,12.0,10,0,0,0,0,686.1,633.5,233.35545133265404,,,,,,,0.0,1.0,,1.6906216295848984,,,0.5750802388691912,-0.45190251503339046,,,
7007M,7007,e39e2703-a9e1-4cef-99f1-6a2c4438bb60,TagMeQuick,30,46.0,30,0,0,0,0,552.3666666666667,480.5,162.4284422463465,,,,,,,0.0,1.0,,2.1411981209720183,,,0.5750802388691912,-0.45190251503339046,,,
7008F,7008,8a0dded0-be27-4f40-96ca-b689676091f3,TagMeQuick,30,64.0,30,0,0,0,0,389.8666666666667,393.0,52.389610271196105,,,,,,,0.0,1.0,,2.1411981209720183,,,0.5750802388691912,-0.45190251503339046,,,
