participantId,participantNumber,gameId,name,totalTrials,finalScore,hit,correct_rejection,false_alarm,bad_hit,miss,mean_rt_hit_ms,median_rt_hit_ms,sd_rt_hit_ms,mean_rt_bad_hit_ms,median_rt_bad_hit_ms,sd_rt_bad_hit_ms,mean_rt_false_alarm_ms,median_rt_false_alarm_ms,sd_rt_false_alarm_ms,bad_hit_rate,correct_hit_rate,false_alarm_rate,sdt_z_hit,sdt_z_false_alarm,dprime,z_correct_hit_rate,z_bad_hit_rate,z_false_alarm_rate,emotions_observed,congruent_ratio
7000C,7000,44e931fd-2678-4783-9550-68ad2ef01adb,TagMeSwitch,50,56.0,32,0,18,0,0,416.59375,362.5,208.7140132202822,,,,476.1111111111111,456.0,134.3576828026763,0.0,1.0,1.0,2.166106752892329,1.9379315108528292,0.2281752420394998,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
7002G,7002,c294a479-2340-4464-ae03-d3ae329617d5,TagMeSwitch,50,65.0,33,0,17,0,0,354.6666666666667,300.0,237.21939563759676,,,,425.0,385.0,140.02098057077018,0.0,1.0,1.0,2.1779230690821856,1.9145058250555569,0.2634172440266287,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
7003L,7003,e4960843-6f8e-464b-ab96-59b118944dc3,TagMeSwitch,50,26.0,30,0,20,0,0,689.6,690.0,299.59807558886575,,,,949.6,844.5,439.31278870047646,0.0,1.0,1.0,2.1411981209720183,1.9807523966472784,0.1604457243247399,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
7004K,7004,9f2a8948-79a8-4bef-9db7-03c12bbf98db,TagMeSwitch,50,25.0,30,0,20,0,0,638.8666666666667,508.0,301.7194098808537,,,,1636.65,1423.0,1094.724347664023,0.0,1.0,1.0,2.1411981209720183,1.9807523966472784,0.1604457243247399,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
7005H,7005,a259bab9-f800-4a85-aa56-dba4be4a63b6,TagMeSwitch,50,46.0,33,0,17,0,0,861.030303030303,435.0,1195.1749998653045,,,,1587.1764705882354,1290.0,1209.7090164216206,0.0,1.0,1.0,2.1779230690821856,1.9145058250555569,0.2634172440266287,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
7006F,7006,6b97e38a-bbdd-43aa-8940-ba5229b013b4,TagMeSwitch,50,33.0,34,0,16,0,0,754.1176470588235,637.0,495.4881134681591,,,,1470.4375,1077.5,1312.7396273315842,0.0,1.0,1.0,2.1893497555220858,1.8895099603334296,0.2998397951886562,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
7007I,7007,8cddfa95-4bdd-44e3-bf78-ae36ba8c93b4,TagMeSwitch,50,64.0,36,0,14,0,0,422.0,417.5,118.02711552859368,,,,395.64285714285717,342.5,119.1241157157313,0.0,1.0,1.0,2.211127241085329,1.8339146358159142,0.3772126052694147,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
7008G,7008,9985212c-36da-4ef7-b7e9-955eac0f6949,TagMeSwitch,50,59.0,34,0,16,0,0,408.44117647058823,397.0,135.70404321179427,,,,517.6875,485.0,140.93152888311874,0.0,1.0,1.0,2.1893497555220858,1.8895099603334296,0.2998397951886562,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
7009F,7009,5919bd8f-0d44-46ce-b63f-f591e0d49c9a,TagMeSwitch,50,37.0,30,0,20,0,0,520.0,458.5,432.32227761721686,,,,771.95,665.5,489.4599037392349,0.0,1.0,1.0,2.1411981209720183,1.9807523966472784,0.1604457243247399,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
7010H,7010,94569d74-78f4-4b59-a17e-4ddb09e523cd,TagMeSwitch,50,35.0,31,0,19,0,0,740.4193548387096,459.0,783.8834851427665,,,,922.2105263157895,913.0,673.2866798150503,0.0,1.0,1.0,2.1538746940614555,1.9599639845400536,0.19391070952140188,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
