participantId,participantNumber,gameId,name,totalTrials,finalScore,hit,correct_rejection,false_alarm,bad_hit,miss,mean_rt_hit_ms,median_rt_hit_ms,sd_rt_hit_ms,mean_rt_bad_hit_ms,median_rt_bad_hit_ms,sd_rt_bad_hit_ms,mean_rt_false_alarm_ms,median_rt_false_alarm_ms,sd_rt_false_alarm_ms,bad_hit_rate,correct_hit_rate,false_alarm_rate,sdt_z_hit,sdt_z_false_alarm,dprime,z_correct_hit_rate,z_bad_hit_rate,z_false_alarm_rate,emotions_observed,congruent_ratio
7000A,7000,0a0a11d8-e8c2-4b5a-9092-113c87ffd26b,TagMeQuick,33,62.0,30,0,0,3,0,386.6666666666667,372.5,89.63578923981024,364.0,369.0,28.827070610799147,,,,0.09090909090909091,1.0,,2.1411981209720183,,,0.5750802388691912,1.2489623720905803,,,
7000B,7000,1fc9087d-e6a2-4b89-a6b1-b15da1b8cbfa,TagMeQuick,11,15.0,10,0,0,1,0,477.4,436.0,123.00876210886587,344.0,344.0,,,,,0.09090909090909091,1.0,,1.6906216295848984,,,0.5750802388691912,1.2489623720905803,,,
7000C,7000,44e931fd-2678-4783-9550-68ad2ef01adb,TagMeSwitch,50,56.0,32,0,18,0,0,416.59375,362.5,208.7140132202822,,,,476.1111111111111,456.0,134.3576828026763,0.0,1.0,1.0,2.166106752892329,1.9379315108528292,0.2281752420394998,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
7000D,7000,51302e2d-dd7f-47e0-a0e1-d357303cc88e,TagMeOnly,10,16.0,7,2,1,0,0,416.2857142857143,393.0,49.781905299396634,,,,815.0,815.0,,0.0,1.0,0.3333333333333333,1.5341205443525459,-0.31863936396437514,1.852759908316921,0.5750802388691912,-0.45190251503339046,0.02268507998715317,,
7000E,7000,5c7753d9-f2a2-44c7-b38d-f312bd27a9db,TagMeBigger,30,33.0,25,0,5,0,0,488.92,478.0,109.93138769250572,,,,395.2,398.0,28.16380656090366,0.0,1.0,1.0,2.0699018308950508,1.382994127100638,0.6869077037944127,0.5750802388691912,-0.45190251503339046,1.735305558547181,,1.0
7000F,7000,5f976b56-e870-4be9-b6ac-aec750ffb796,TagMeAgainHard,10,2.0,0,6,1,0,3,,,,,,,656.0,656.0,,0.0,0.0,0.14285714285714285,-1.1503493803760079,-0.8871465590188758,-0.263202821357132,-3.2983925509685896,-0.45190251503339046,-0.4666350567442833,,
7000G,7000,6393fe00-d558-44c7-8f9a-1f3c4f122949,TagMeAgainEasy,11,,1,2,5,1,2,477.0,477.0,,698.0,698.0,,505.2,506.0,123.14097612086725,0.09090909090909091,0.3333333333333333,0.7142857142857143,-0.31863936396437514,0.4887764111146694,-0.8074157750790445,-2.0072349543559964,1.2489623720905803,1.0013253534500262,,
7000H,7000,87782d69-bcfe-4b15-98ed-db215e931358,TagMeAgainEasy,33,23.0,6,21,1,2,3,626.8333333333334,634.5,101.77114849831787,695.5,695.5,115.25840533340725,673.0,673.0,,0.06060606060606061,0.6666666666666666,0.045454545454545456,0.3853204664075676,-1.5123895860676801,1.8977100524752477,-0.7160773577434025,0.6820074097159234,-0.7168555812092223,,
7000I,7000,8fdf33c6-136c-46c0-9f34-0e5045a33caa,TagMeAgainHard,33,1.0,4,13,11,0,5,606.75,623.5,73.66308437745462,,,,578.1818181818181,557.0,117.87350693164109,0.0,0.4444444444444444,0.4583333333333333,-0.125661346855074,-0.10043372051146975,-0.025227626343604245,-1.5768490888184648,-0.45190251503339046,0.3438014197171584,,
7000J,7000,a0189b87-371a-4952-8294-077e190b1ae0,TagMeOnly,30,44.0,21,7,2,0,0,449.57142857142856,404.0,161.53995525212065,,,,422.0,422.0,12.727922061357855,0.0,1.0,0.2222222222222222,2.00042356910598,-0.6744897501960817,2.6749133193020618,0.5750802388691912,-0.45190251503339046,-0.2627516664395181,,
7000K,7000,a3345d12-2d73-4b98-8686-a28cae3da2a6,TagMeAgainMedium,32,23.0,9,18,5,0,0,644.4444444444445,680.0,106.88792157104459,,,,663.6,597.0,168.81883781142434,0.0,1.0,0.21739130434782608,1.6448536269514715,-0.7415940438615165,2.386447670812988,0.5750802388691912,-0.45190251503339046,-0.2751619597624168,,
7000L,7000,afbf80cc-2efc-4388-adc5-95efd2565407,TagMeAgainMedium,10,7.0,1,7,0,0,2,465.0,465.0,,,,,,,,0.0,0.3333333333333333,0.0,-0.31863936396437514,-1.5341205443525459,1.2154811803881707,-2.0072349543559964,-0.45190251503339046,-0.8336251592928606,,
